index,Unnamed: 0,nombre_col,num_code,prom_valor_unitario_suelo,latitud,longitud,alcaldia,estado,no_airbnb,no_starbucks,airbnb_mean_price
54,54,DOS RIOS,1530,1730.2,19.35768121,-99.24556611,Álvaro Obregón,CDMX,18,0,761.7777777777778
55,55,EL ARBOL,1250,1236.707538,19.38024603,-99.23562446,Álvaro Obregón,CDMX,6,0,524.1666666666666
56,56,EL BATAN,1508,1043.72,19.35471151,-99.25912009,Álvaro Obregón,CDMX,19,0,756.1052631578947
57,57,EL BOSQUE,1140,1788.36,19.39269946,-99.19729486,Álvaro Obregón,CDMX,42,0,1052.6666666666667
58,58,EL BOSQUE 2DA SECCION (AMPL),1140,1788.36,19.39151901,-99.1999765,Álvaro Obregón,CDMX,32,0,907.625
59,59,EL BOSQUE SECCION TORRES,1140,1788.36,19.39320576,-99.195787,Álvaro Obregón,CDMX,52,0,982.4807692307693
60,60,EL CAPULIN,1110,2468.285337,19.39634083,-99.2107809,Álvaro Obregón,CDMX,7,0,674.8571428571429
61,61,EL CAPULIN (AMPL),1110,1563.16,19.39712821,-99.20908548,Álvaro Obregón,CDMX,6,0,737.3333333333334
62,62,EL CUERNITO,1220,3210.05,19.3889876,-99.22271626,Álvaro Obregón,CDMX,11,0,412.72727272727275
63,63,EL MIRADOR,1700,1968.973333,19.34473501,-99.22588407,Álvaro Obregón,CDMX,22,0,643.0
64,64,EL PARAISO,1100,2010.8,19.39072409,-99.21263664,Álvaro Obregón,CDMX,5,0,361.2
65,65,EL PIRU (FRACC),1230,1377.81,19.38039248,-99.21782225,Álvaro Obregón,CDMX,9,0,1984.6666666666667
66,66,EL PIRUL,1130,1481.074541,19.38032499,-99.24025377,Álvaro Obregón,CDMX,11,0,633.0909090909091
67,67,EL POCITO,1110,1127.922059,19.38168536,-99.20899,Álvaro Obregón,CDMX,3,0,475.3333333333333
68,68,EL RODEO,1270,1020.41,19.38049884,-99.20857121,Álvaro Obregón,CDMX,2,0,575.0
69,69,EL RUEDO,1650,1342.03,19.35136384,-99.23999834,Álvaro Obregón,CDMX,18,0,923.9444444444445
70,70,EMANCIPACION DEL PUEBLO,1550,1730.673758,19.36048691,-99.23854168,Álvaro Obregón,CDMX,20,0,586.25
71,71,ESTADO DE HIDALGO,1120,3023.996013,19.3996005,-99.20616867,Álvaro Obregón,CDMX,7,0,672.4285714285714
72,72,ESTADO DE HIDALGO (AMPL),1520,2659.25,19.39769761,-99.20906618,Álvaro Obregón,CDMX,6,0,737.3333333333334
73,73,ESTADO DE HIDALGO_,1410,1396.426754,19.36450878,-99.24168881,Álvaro Obregón,CDMX,18,0,485.72222222222223
74,74,FLOR DE MARIA,1040,4117.480826,19.349399,-99.20517366,Álvaro Obregón,CDMX,28,1,1194.357142857143
75,75,FLORIDA,1030,6471.154597,19.35752987,-99.18061311,Álvaro Obregón,CDMX,87,3,1577.9655172413793
76,76,FRANCISCO VILLA,1170,2010.8,19.38422823,-99.20409387,Álvaro Obregón,CDMX,13,0,962.5384615384615
77,77,GALEANA,1400,1547.886393,19.37090649,-99.22424855,Álvaro Obregón,CDMX,12,0,2899.3333333333335
78,78,GARCIMARRERO,1210,1471.091045,19.36540725,-99.23705802,Álvaro Obregón,CDMX,19,0,571.3157894736842
79,79,GARCIMARRERO NORTE,1210,1273.701481,19.36663412,-99.24238434,Álvaro Obregón,CDMX,16,0,478.5625
80,80,GARCIMARRERO REACOMODO,1210,1470.86,19.36662783,-99.23545777,Álvaro Obregón,CDMX,18,0,570.5
81,81,GOLONDRINAS,1210,973.78,19.3785561,-99.21319415,Álvaro Obregón,CDMX,10,0,387.7
82,82,GOLONDRINAS 1RA SECCION,1270,1373.544821,19.38036702,-99.21207985,Álvaro Obregón,CDMX,2,0,363.0
83,83,GOLONDRINAS 2DA SECCION,1210,973.78,19.37641635,-99.21691245,Álvaro Obregón,CDMX,15,0,1269.2
84,84,GRAL A ROSALES,1230,1592.7836,19.37794038,-99.24602119,Álvaro Obregón,CDMX,29,0,953.0689655172414
85,85,GRAL C  A  MADRAZO,1320,5178.804379,19.37919556,-99.25088979,Álvaro Obregón,CDMX,100,0,1513.86
86,86,GUADALUPE INN,1000,10104.41464,19.35370526,-99.18677334,Álvaro Obregón,CDMX,79,2,1563.26582278481
87,87,HACIENDA DE GUADALUPE CHIMALISTAC,1030,7982.506885,19.35042737,-99.18127926,Álvaro Obregón,CDMX,72,2,1103.236111111111
88,88,HERON PROAL,1614,1347.945447,19.35799917,-99.23011215,Álvaro Obregón,CDMX,11,0,778.8181818181819
89,89,HOGAR Y REDENCION,1400,1219.55,19.36994145,-99.21356888,Álvaro Obregón,CDMX,20,0,503.1
90,90,ISIDRO FABELA,1100,2010.8,19.38636281,-99.20900325,Álvaro Obregón,CDMX,8,0,527.0
91,91,JALALPA,1209,954.3390265,19.37910072,-99.22862121,Álvaro Obregón,CDMX,10,0,1764.6
92,92,JALALPA (AMPL),1296,803.32,19.3778356,-99.2329458,Álvaro Obregón,CDMX,3,0,306.6666666666667
93,93,JALALPA EL GRANDE,1150,1188.19,19.36871102,-99.24346883,Álvaro Obregón,CDMX,16,0,691.0625
94,94,JALALPA TEPITO,1250,1082.966921,19.37393145,-99.23721077,Álvaro Obregón,CDMX,2,0,527.0
95,95,JARDINES DEL PEDREGAL,1900,4899.766953,19.31901441,-99.20876909,Álvaro Obregón,CDMX,5,2,2214.4
96,96,JOSE MARIA PINO SUAREZ,1110,1967.59242,19.39577509,-99.19798201,Álvaro Obregón,CDMX,21,0,769.3333333333334
97,97,JURISTAS,1630,1365.53,19.3561181,-99.23623351,Álvaro Obregón,CDMX,10,0,784.7
98,98,LA ANGOSTURA,1770,1735.165692,19.33314153,-99.23247536,Álvaro Obregón,CDMX,24,0,1560.9583333333333
99,99,LA ARAA,1500,1476.84,19.36350442,-99.24042295,Álvaro Obregón,CDMX,20,0,484.65
100,100,LA CANADA,1269,1120.872045,19.38210511,-99.22679574,Álvaro Obregón,CDMX,15,0,1190.9333333333334
101,101,LA CASCADA,1470,1965.189749,19.37016107,-99.19847733,Álvaro Obregón,CDMX,34,0,920.8235294117648
102,102,LA CEBADA (AMPL),1210,1148.834627,19.38025318,-99.23352103,Álvaro Obregón,CDMX,5,0,313.0
103,103,LA CONCHITA,1100,2047.48,19.39127417,-99.20811188,Álvaro Obregón,CDMX,10,0,718.0
104,104,LA HERRADURA,1060,3105.446087,19.34565603,-99.21016613,Álvaro Obregón,CDMX,24,0,697.5833333333334
105,105,LA HUERTA,1230,1282.28,19.37881397,-99.23968959,Álvaro Obregón,CDMX,11,0,570.7272727272727
106,106,LA JOYA,1230,2010.8,19.38460547,-99.21162082,Álvaro Obregón,CDMX,4,0,409.0
107,107,LA LOMA,1376,9402.07,19.36949563,-99.24993096,Álvaro Obregón,CDMX,17,0,1698.2941176470588
108,108,LA MARTINICA,1600,1829.905747,19.35958999,-99.2240095,Álvaro Obregón,CDMX,9,0,1425.4444444444443
109,109,LA MEXICANA,1200,1091.386146,19.38223507,-99.23154794,Álvaro Obregón,CDMX,5,0,361.0
110,110,LA MEXICANA (AMPL),1260,961.1310526,19.38371633,-99.2281489,Álvaro Obregón,CDMX,14,0,381.2857142857143
111,111,LA MILAGROSA,1600,1109.985354,19.35142457,-99.23820138,Álvaro Obregón,CDMX,10,0,1265.7
112,112,LA OTRA BANDA,1000,8381.417315,19.33654872,-99.1970036,Álvaro Obregón,CDMX,81,2,1585.6049382716049
113,113,LA PALMITA,1110,951.2946825,19.38414512,-99.22637366,Álvaro Obregón,CDMX,16,0,399.6875
114,114,LA PERA XOCHINAHUAC (U HAB),1618,1358.62,19.35912741,-99.22764858,Álvaro Obregón,CDMX,9,0,1598.2222222222222
115,115,LA PRESA,1270,1349.71,19.38206395,-99.21170218,Álvaro Obregón,CDMX,3,0,428.6666666666667
116,116,LA PRESA SECCION HORNOS,1270,1028.74271,19.38231582,-99.21617109,Álvaro Obregón,CDMX,3,0,398.6666666666667
117,117,LADERA GRANDE O LA CEBADITA,1210,1171.291892,19.38046242,-99.23707393,Álvaro Obregón,CDMX,8,0,594.375
118,118,LAS AGUILAS,1010,2462.18,19.36022773,-99.20274323,Álvaro Obregón,CDMX,21,1,856.2857142857143
119,119,LAS AGUILAS (AMPL),1700,2045.382124,19.35083796,-99.2178449,Álvaro Obregón,CDMX,14,0,1399.5714285714287
120,120,LAS AGUILAS SECC HORNOS,1600,2660.987955,19.3618534,-99.20454998,Álvaro Obregón,CDMX,22,1,786.2272727272727
121,121,LAS CUEVITAS,1210,2170.81,19.38654019,-99.22613216,Álvaro Obregón,CDMX,16,0,399.6875
122,122,LAS PALMAS,1110,2033.37,19.3988964,-99.21115671,Álvaro Obregón,CDMX,7,0,674.8571428571429
123,123,LIBERACION PROLETARIA,1209,1133.39,19.38149568,-99.22986814,Álvaro Obregón,CDMX,8,0,347.375
124,124,LIBERALES DE 1857,1110,1545.18,19.39353287,-99.21240264,Álvaro Obregón,CDMX,9,0,598.8888888888889
125,125,LLANO REDONDO,1500,1770.088566,19.35551677,-99.24488843,Álvaro Obregón,CDMX,19,0,780.1052631578947
126,126,LOMAS DE AXOMIATLA,1050,2373.927092,19.34265588,-99.25230704,Álvaro Obregón,CDMX,58,1,611.051724137931
127,127,LOMAS DE BECERRA,1279,1143.957283,19.38464058,-99.21676116,Álvaro Obregón,CDMX,8,0,384.875
128,128,LOMAS DE BECERRA (U HAB),1280,2010.8,19.38398609,-99.20069042,Álvaro Obregón,CDMX,36,0,1014.7777777777778
129,129,LOMAS DE BECERRA ARVIDE (U HAB),1279,2010.8,19.38305339,-99.20688479,Álvaro Obregón,CDMX,10,0,682.3
130,130,LOMAS DE CAPULA,1270,1377.81,19.37941891,-99.21584426,Álvaro Obregón,CDMX,7,0,1801.142857142857
131,131,LOMAS DE CAPULIN,1110,956.3257955,19.3126989,-99.26875651,Álvaro Obregón,CDMX,7,0,1094.0
132,132,LOMAS DE CENTENARIO (U HAB),1630,1365.53,19.35664802,-99.23502772,Álvaro Obregón,CDMX,10,0,841.8
133,133,LOMAS DE CHAMONTOYA,1857,838.0959594,19.31747247,-99.26801703,Álvaro Obregón,CDMX,3,0,466.3333333333333
134,134,LOMAS DE GUADALUPE,1588,2135.127782,19.34208304,-99.24401242,Álvaro Obregón,CDMX,23,2,821.7826086956521
135,135,LOMAS DE LA ERA,1860,1045.576093,19.32090605,-99.2627322,Álvaro Obregón,CDMX,3,0,382.0
136,136,LOMAS DE LAS AGUILAS,1600,1937.857451,19.34591267,-99.23547162,Álvaro Obregón,CDMX,12,0,2662.0833333333335
137,137,LOMAS DE LOS ANGELES TETELPAN,1020,2133.966067,19.34354724,-99.21409825,Álvaro Obregón,CDMX,25,0,1150.08
138,138,LOMAS DE LOS CEDROS,1840,1046.32,19.3251693,-99.25759896,Álvaro Obregón,CDMX,5,0,923.2
139,139,LOMAS DE NUEVO MEXICO,1250,1133.39,19.38191584,-99.23476852,Álvaro Obregón,CDMX,9,0,496.1111111111111
140,140,LOMAS DE PLATEROS (U HAB) I,1000,4675.73,19.36745721,-99.20589372,Álvaro Obregón,CDMX,15,0,514.9333333333333
141,141,LOMAS DE PLATEROS (U HAB) II,1400,4455.57199,19.36840847,-99.19709203,Álvaro Obregón,CDMX,50,0,824.54
142,142,LOMAS DE PUERTA GRANDE,1130,1255.644449,19.35623814,-99.23167681,Álvaro Obregón,CDMX,12,0,778.9166666666666
143,143,LOMAS DE SAN ANGEL INN,1790,4223.908081,19.34489443,-99.20473999,Álvaro Obregón,CDMX,53,0,750.6037735849056
144,144,LOMAS DE SANTA FE,1210,5086.32,19.38676554,-99.24107122,Álvaro Obregón,CDMX,19,0,1073.421052631579
145,145,LOMAS DE SANTA FE II,1219,13973.1903,19.36976315,-99.25946966,Álvaro Obregón,CDMX,32,6,1294.9375
146,146,LOMAS DE SANTO DOMINGO,1100,1499.73,19.39517683,-99.20154067,Álvaro Obregón,CDMX,16,0,1076.5
147,147,LOMAS DE SANTO DOMINGO (AMPL),1100,1499.73,19.39428319,-99.20213932,Álvaro Obregón,CDMX,11,0,765.4545454545455
148,148,LOMAS DE TARANGO,1620,1957.65969,19.36323991,-99.21565046,Álvaro Obregón,CDMX,15,0,1157.3333333333333
149,149,LOMAS DE TETELPAN,1030,2938.942126,19.3450234,-99.21623808,Álvaro Obregón,CDMX,24,0,1225.75
150,150,LORETO,1090,6180.97,19.34080067,-99.19269208,Álvaro Obregón,CDMX,108,2,1261.2222222222222
151,151,LOS CEDROS,1500,1476.84,19.36394133,-99.23861872,Álvaro Obregón,CDMX,21,0,502.0
152,152,LOS GAMITOS,1210,1282.28,19.37899668,-99.23858824,Álvaro Obregón,CDMX,10,0,567.8
153,153,MARGARITA M DE JUAREZ,1210,1396.618679,19.38186229,-99.23640383,Álvaro Obregón,CDMX,10,0,959.5
154,154,MARIA G DE GARCIA RUIZ,1140,2048.649703,19.38760203,-99.21168494,Álvaro Obregón,CDMX,7,0,556.5714285714286
155,155,MARTIRES DE TACUBAYA,1160,2010.8,19.38701431,-99.21345708,Álvaro Obregón,CDMX,6,0,399.3333333333333
156,156,MERCED GOMEZ,3930,3043.385196,19.36588377,-99.20018144,Álvaro Obregón,CDMX,29,1,653.9310344827586
157,157,METROPOLITANO (U HAB),1610,855.6,19.36045673,-99.21829843,Álvaro Obregón,CDMX,10,0,1463.4
158,158,MIGUEL GAONA ARMENTA,1380,1416.080909,19.35537006,-99.25066176,Álvaro Obregón,CDMX,40,0,717.625
159,159,MIGUEL HIDALGO,1080,2318.121421,19.33680178,-99.21497684,Álvaro Obregón,CDMX,32,0,16234.21875
160,160,MILPA DEL CEDRO,1505,1026.066667,19.35359241,-99.25692152,Álvaro Obregón,CDMX,35,0,831.3142857142857
161,161,MINAS DE CRISTO,1180,1655.004556,19.37987806,-99.20037443,Álvaro Obregón,CDMX,21,0,971.4761904761905
162,162,MOLINO DE ROSAS,1400,2767.479264,19.37244774,-99.19939143,Álvaro Obregón,CDMX,32,0,910.25
163,163,MOLINO DE ROSAS (AMPL),1410,2768.64,19.36995095,-99.20150713,Álvaro Obregón,CDMX,25,0,909.92
164,164,MOLINO DE SANTO DOMINGO,1100,2032.97,19.39400066,-99.20788179,Álvaro Obregón,CDMX,9,0,736.6666666666666
165,165,MOLINO DE SANTO DOMINGO (U HAB),1100,2047.48,19.39344058,-99.2036343,Álvaro Obregón,CDMX,9,0,736.6666666666666
166,166,OCHO DE AGOSTO,1140,4188.303944,19.39319529,-99.18944717,Álvaro Obregón,CDMX,142,3,814.7887323943662
167,167,OCOTILLOS,1700,1963.213885,19.34058837,-99.23781207,Álvaro Obregón,CDMX,31,1,1450.967741935484
168,168,OLIVAR DE LOS PADRES,1780,3030.193166,19.33738268,-99.22896012,Álvaro Obregón,CDMX,20,0,1683.3
169,169,OLIVAR DEL CONDE 1RA SECCION I,1400,1950.142662,19.37526528,-99.20469722,Álvaro Obregón,CDMX,5,0,387.8
170,170,OLIVAR DEL CONDE 1RA SECCION II,1100,1910.510971,19.37466257,-99.2098116,Álvaro Obregón,CDMX,14,0,335.7857142857143
171,171,OLIVAR DEL CONDE 2DA SECCION I,1298,1435.28,19.37220858,-99.21595357,Álvaro Obregón,CDMX,18,0,522.0555555555555
172,172,OLIVAR DEL CONDE 2DA SECCION II,1408,1435.28,19.37153664,-99.22043588,Álvaro Obregón,CDMX,22,0,1769.0
173,173,PALMAS,1110,1483.05,19.37631268,-99.21283614,Álvaro Obregón,CDMX,11,0,364.72727272727275
174,174,PALMAS AXOTITLA,1410,1163.226213,19.35299046,-99.23677775,Álvaro Obregón,CDMX,12,0,1125.5833333333333
175,175,PARAJE EL CABALLITO,1856,1029.665273,19.31505617,-99.27141997,Álvaro Obregón,CDMX,1,0,259.0
176,176,PARQUE RESIDENCIAL SAN ANTONIO (U HAB),1180,4299.89,19.38637619,-99.19276246,Álvaro Obregón,CDMX,119,3,888.5714285714286
177,177,PASEO DE LAS LOMAS-SAN GABRIEL,1330,8620.421074,19.37197111,-99.26404403,Álvaro Obregón,CDMX,57,6,1328.1052631578948
178,178,PILOTO (ADOLFO LOPEZ MATEOS),1290,1368.571217,19.37192888,-99.23257106,Álvaro Obregón,CDMX,10,0,2216.6
179,179,PILOTO (ADOLFO LOPEZ MATEOS) (AMPL),1290,1320.378872,19.37211594,-99.22664292,Álvaro Obregón,CDMX,14,0,2666.3571428571427
180,180,PODER POPULAR,1600,2420.77,19.3639673,-99.20259616,Álvaro Obregón,CDMX,21,1,778.2380952380952
181,181,POLVORA,1100,2008.542353,19.39223691,-99.20474643,Álvaro Obregón,CDMX,9,0,774.4444444444445
182,182,PONCIANO ARRIAGA,1600,1291.550667,19.35767486,-99.22731075,Álvaro Obregón,CDMX,10,0,952.4
183,183,PRADOS LA PROVIDENCIA,1550,1342.123428,19.35765639,-99.23805976,Álvaro Obregón,CDMX,11,0,696.0
184,184,PREDIO LA ANGOSTURA,1780,3137.23,19.32479599,-99.23956402,Álvaro Obregón,CDMX,9,0,949.6666666666666
185,185,PRESIDENTES,1290,1545.37,19.37804759,-99.22189457,Álvaro Obregón,CDMX,6,0,2772.6666666666665
186,186,PRESIDENTES 1RA (AMPL),1259,1545.37,19.37640986,-99.22484364,Álvaro Obregón,CDMX,6,0,2790.1666666666665
187,187,PRESIDENTES 2DA (AMPL),1160,1545.37,19.37407171,-99.22782018,Álvaro Obregón,CDMX,10,0,3438.1
188,188,PRIVADA CENTENARIO,1430,1659.2,19.36099201,-99.23047737,Álvaro Obregón,CDMX,13,0,860.4615384615385
189,189,PROF JOSE ARTURO LOPEZ,1610,855.6,19.35963563,-99.21991965,Álvaro Obregón,CDMX,10,0,1415.0
190,190,PROGRESO TIZAPAN,1000,3448.640872,19.33954902,-99.2050799,Álvaro Obregón,CDMX,64,2,1503.625
191,191,PUEBLO NUEVO,1240,1678.077945,19.38108892,-99.23834892,Álvaro Obregón,CDMX,14,0,854.5714285714286
192,192,PUENTE COLORADO,1730,2202.764701,19.34798085,-99.2308624,Álvaro Obregón,CDMX,17,0,850.2941176470588
193,193,PUENTE COLORADO (AMPL),1730,1336.880828,19.34580099,-99.2295125,Álvaro Obregón,CDMX,20,0,827.35
194,194,PUNTA DE CEHUAYO,1540,1057.83,19.36070141,-99.24133369,Álvaro Obregón,CDMX,22,0,553.9545454545455
195,195,REACOMODO EL CUERNITO,1220,1509.196793,19.38285753,-99.2085476,Álvaro Obregón,CDMX,4,0,436.5
196,196,REACOMODO PINO SUAREZ,1130,2194.91,19.39594951,-99.20408019,Álvaro Obregón,CDMX,10,0,696.7
197,197,REAL DEL MONTE,1125,1499.73,19.39600961,-99.20190164,Álvaro Obregón,CDMX,13,0,1120.6153846153845
198,198,RESIDENCIAL MARIA ISABEL,1780,2949.47,19.3354388,-99.22333701,Álvaro Obregón,CDMX,20,0,786.45
199,199,RINCON DE LA BOLSA,1800,1233.2,19.33179035,-99.25246027,Álvaro Obregón,CDMX,8,0,1025.0
200,200,SAN ANGEL,1000,9364.296856,19.34611539,-99.19137078,Álvaro Obregón,CDMX,106,4,1399.1603773584907
201,201,SAN ANGEL INN,1000,7740.471654,19.34905528,-99.1979807,Álvaro Obregón,CDMX,69,1,1469.1159420289855
202,202,SAN BARTOLO AMEYALCO (PBLO),1800,1944.360464,19.33139269,-99.26782735,Álvaro Obregón,CDMX,13,0,827.1538461538462
203,203,SAN CLEMENTE,1740,2261.609972,19.34898926,-99.22573149,Álvaro Obregón,CDMX,18,0,610.5555555555555
204,204,SAN GABRIEL,1310,2931.46,19.37935908,-99.25586495,Álvaro Obregón,CDMX,102,1,1485.6666666666667
205,205,SAN PEDRO DE LOS PINOS,1150,4299.89,19.38956241,-99.1910951,Álvaro Obregón,CDMX,156,3,890.7435897435897
206,206,SANTA FE,1376,2857.838276,19.38290089,-99.23913198,Álvaro Obregón,CDMX,18,0,935.8888888888889
207,207,SANTA FE (U HAB),1120,2349.13,19.38864258,-99.20651279,Álvaro Obregón,CDMX,9,0,754.4444444444445
208,208,SANTA FE KM 8.5,1210,2840.195122,19.37979653,-99.24746741,Álvaro Obregón,CDMX,57,0,1456.438596491228
209,209,SANTA LUCIA,1500,1324.075852,19.35746316,-99.2544876,Álvaro Obregón,CDMX,20,0,843.3
210,210,SANTA LUCIA (PBLO),1500,1381.377872,19.35843613,-99.25669404,Álvaro Obregón,CDMX,18,0,781.4444444444445
211,211,SANTA LUCIA REACOMODO,1500,1043.72,19.35570526,-99.25906867,Álvaro Obregón,CDMX,19,0,756.1052631578947
212,212,SANTA MARIA NONOALCO,1420,2729.68,19.38010595,-99.19387354,Álvaro Obregón,CDMX,111,1,787.990990990991
